-1.777 0.2527 0.7338  -0.698 0.1979 0.2662  
0.980 0.020  -1.31133
0.980 0.020  -1.31133
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.671833
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
0.000 1.000  -0.462561
